id,title,category,in_degree,out_degree
118,Robust Regional Coordination of Inverter-Based Volt/Var Control via Multi-Agent Deep Reinforcement Learning,robust_marl,2,0
121,"A Model-Free Multi-Agent Reinforcement Learning Approach to Reach a Robust, Optimal, and Environment-Friendly Power Management in a Micro-Grid",robust_marl,0,0
122,Optimal Bi-Level Bidding and Dispatching Strategy Between Active Distribution Network and Virtual Alliances Using Distributed Robust Multi-Agent Deep Reinforcement Learning,robust_marl,1,1
123,Distributionally Robust Multi-Agent Reinforcement Learning for Intelligent Traffic Control,robust_marl,0,1
124,Decentralized Multi-Agent Reinforcement Learning with Visible Light Communication for Robust Urban Traffic Signal Control,robust_marl,0,0
126,Distributionally Robust Multi-Agent Reinforcement Learning for Dynamic Chute Mapping,robust_marl,3,4
127,Robust and Scalable Routing with Multi-Agent Deep Reinforcement Learning for MANETs (DeepCQ+ routing),robust_marl,0,0
128,DeepCQ+: Robust and Scalable Routing with Multi-Agent Deep Reinforcement Learning for Highly Dynamic Networks,robust_marl,0,0
131,ROMUC: A Robust Policy Learning Method for Multi-USV Cooperative Tasks,robust_marl,0,0
132,Robust UAV-Oriented Wireless Communications via Multi-Agent Deep Reinforcement Learning to Optimize User Coverage,robust_marl,0,0
133,Robust Path Planning through Multi-Agent Reinforcement Learning in Dynamic Environments,robust_marl,0,0
135,Robust Multi-Agent Reinforcement Learning Method Based on Adversarial Domain Randomization for Real-World Dual-UAV Cooperation,robust_marl,5,3
136,Robust Multi-Agent Coverage Path Planning for Unmanned Aerial Vehicles (UAVs) in Complex 3D Environments with Deep Reinforcement Learning,robust_marl,0,0
137,Mobility-as-a-Resilience Service in Internet of Robotic Things Through Robust Multiagent Deep Reinforcement Learning,robust_marl,0,4
138,Robust Multi-agent Federated Reinforcement Learning for Task Offloading,robust_marl,0,0
141,Air combat autonomous maneuver decision for one-on-one within visual range engagement based on robust multi-agent reinforcement learning,robust_marl,0,1
142,RMAAC: Joint Markov Games and Robust Multiagent Actor-Critic for Explainable Malware Defense in Social IoT,robust_marl,0,0
143,Multi-Agent Reinforcement Learning for Cyber Defence Transferability and Scalability,marl,0,0
144,Towards Robust Autonomous Cyber Defence Agents using Hybrid AI models,other,0,1
145,Hierarchical Adversarially-Resilient Multi-Agent Reinforcement Learning for Cyber-Physical Systems Security,robust_marl,0,0
146,MARS: A Meta-Adaptive Reinforcement Learning Framework for Risk-Aware Multi-Agent Portfolio Management,marl,0,0
